Junior Expert weiblich;P1;66;8.000;7.000;7.000;P2;66;7.500;7.000;7.000;P3;66;8.500;8.000;8.500;P4;66;9.000;9.000;9.000;P5;66;8.000;8.000;9.000
Junior Expert weiblich;P1;67;5.000;5.000;6.000;P2;67;5.000;4.500;4.800;P3;67;5.500;5.000;7.500;P4;67;7.000;7.000;7.000;P5;67;5.500;5.000;5.000
Junior Expert weiblich;P1;68;6.000;4.000;4.000;P2;68;6.000;5.200;4.500;P3;68;4.500;5.000;6.500;P4;68;7.500;7.000;7.500;P5;68;6.000;5.500;5.000
Junior Expert weiblich;P1;69;5.000;4.000;5.000;P2;69;6.500;6.000;6.000;P3;69;6.500;5.500;6.500;P4;69;7.000;6.000;6.000;P5;69;5.000;4.500;6.500
Junior Expert weiblich;P1;70;3.000;2.000;2.000;P2;70;3.000;4.000;4.000;P3;70;3.500;4.000;4.500;P4;70;4.000;4.000;4.000;P5;70;3.000;3.000;1.000
Junior Expert weiblich;P1;71;7.000;5.000;5.000;P2;71;7.500;7.500;5.500;P3;71;5.500;4.500;4.500;P4;71;8.500;9.000;9.000;P5;71;4.500;3.500;1.500
Junior Expert weiblich;P1;72;5.000;4.500;6.000;P2;72;3.000;3.000;3.500;P3;72;2.500;4.500;5.000;P4;72;4.000;4.000;4.000;P5;72;1.500;3.000;1.250
Junior Expert weiblich;P1;73;4.000;3.000;4.000;P2;73;5.000;4.200;4.000;P3;73;3.500;3.500;4.500;P4;73;6.500;7.000;6.500;P5;73;2.000;3.000;1.200
Junior Expert weiblich;P1;74;7.500;6.000;6.500;P2;74;3.000;3.300;3.500;P3;74;5.000;5.500;5.000;P4;74;7.000;7.000;7.000;P5;74;6.500;5.000;6.000
Expert weiblich;P1;75;3.000;3.000;4.000;P2;75;4.800;5.500;4.500;P3;75;5.000;5.000;4.000;P4;75;6.500;7.000;6.000;P5;75;5.000;5.000;3.500
Expert weiblich;P1;76;5.000;5.000;5.000;P2;76;4.900;5.000;5.500;P3;76;6.000;6.000;5.000;P4;76;7.500;7.500;6.000;P5;76;3.000;3.000;3.000
Expert weiblich;P1;77;6.000;6.000;7.000;P2;77;6.500;6.700;5.800;P3;77;6.000;7.000;6.000;P4;77;8.000;7.500;6.500;P5;77;6.000;6.000;5.000
Expert maennlich;P1;78;7.000;7.000;7.000;P2;78;6.000;7.000;6.500;P3;78;7.000;6.000;7.000;P4;78;8.500;8.000;8.500;P5;78;8.000;8.000;8.000
Paarkuer U11;P1;81;8.000;8.000;5.000;P2;81;3.000;2.500;2.000;P3;81;7.000;6.500;4.500;P4;81;6.000;7.000;5.000;P5;81;4.000;5.000;5.000
Paarkuer U11;P1;82;3.000;3.000;3.000;P2;82;0.500;1.000;0.500;P3;82;3.500;2.500;2.000;P4;82;3.500;4.500;4.000;P5;82;3.000;3.500;3.500
Paarkuer U11;P1;83;2.000;2.000;2.000;P2;83;1.000;1.000;0.500;P3;83;3.000;2.000;1.500;P4;83;3.000;4.500;4.500;P5;83;3.000;3.000;3.000
Paarkuer U11;P1;84;6.000;7.000;4.000;P2;84;1.500;1.000;1.000;P3;84;4.500;4.000;3.000;P4;84;6.500;6.000;5.000;P5;84;4.000;5.000;5.000
Paarkuer U12;P1;85;3.500;4.000;2.500;P2;85;3.000;2.000;1.000;P3;85;5.500;5.000;3.000;P4;85;5.000;6.000;7.000;P5;85;5.500;5.000;5.000
